react_id	react_flux	Complex_id	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	ec
rxn00063	NA	ATP phosphohydrolase	rxn00063	"cpd00001[c0],cpd00002[c0],cpd00012[c0],cpd00018[c0],cpd00067[c0]"	"H2O[c0],ATP[c0],PPi[c0],AMP[c0],H+[c0]"	"-1,-1,1,1,2"	"1,1,1,1,1"	rxn00063	ATP diphosphohydrolase (diphosphate-forming)	FALSE	0	1000	3.6.1.8
rxn00212	0	ATP phosphohydrolase	rxn00212	"cpd00001[c0],cpd00026[c0],cpd00067[c0],cpd00089[c0],cpd00091[c0]"	"H2O[c0],UDP-glucose[c0],H+[c0],Glucose-1-phosphate[c0],UMP[c0]"	"-1,-1,2,1,1"	"1,1,1,1,1"	rxn00212	UDP-glucose glucophosphohydrolase	FALSE	0	1000	3.6.1.8
rxn00301	0	ATP phosphohydrolase	rxn00301	"cpd00001[c0],cpd00038[c0],cpd00012[c0],cpd00067[c0],cpd00126[c0]"	"H2O[c0],GTP[c0],PPi[c0],H+[c0],GMP[c0]"	"-1,-1,1,2,1"	"1,1,1,1,1"	rxn00301	GTP diphosphohydrolase (diphosphate-forming)	FALSE	0	1000	3.6.1.8
rxn00367	NA	ATP phosphohydrolase	rxn00367	"cpd00001[c0],cpd00052[c0],cpd00012[c0],cpd00046[c0],cpd00067[c0]"	"H2O[c0],CTP[c0],PPi[c0],CMP[c0],H+[c0]"	"-1,-1,1,1,2"	"1,1,1,1,1"	rxn00367	CTP diphosphohydrolase (diphosphate-forming)	FALSE	0	1000	3.6.1.8
rxn00463	0	ATP phosphohydrolase	rxn00463	"cpd00001[c0],cpd00062[c0],cpd00012[c0],cpd00067[c0],cpd00091[c0]"	"H2O[c0],UTP[c0],PPi[c0],H+[c0],UMP[c0]"	"-1,-1,1,2,1"	"1,1,1,1,1"	rxn00463	Uridine triphosphate pyrophosphohydrolase	FALSE	0	1000	3.6.1.8
rxn00514	0	ATP phosphohydrolase	rxn00514	"cpd00001[c0],cpd00068[c0],cpd00012[c0],cpd00067[c0],cpd00114[c0]"	"H2O[c0],ITP[c0],PPi[c0],H+[c0],IMP[c0]"	"-1,-1,1,2,1"	"1,1,1,1,1"	rxn00514	Inosine 5'-triphosphate pyrophosphohydrolase	FALSE	0	1000	3.6.1.8
rxn05153	0	ATP phosphohydrolase	rxn05153	"cpd00001[c0],cpd00002[c0],cpd00048[e0],cpd00008[c0],cpd00009[c0],cpd00048[c0],cpd00067[c0]"	"H2O[c0],ATP[c0],Sulfate[e0],ADP[c0],Phosphate[c0],Sulfate[c0],H+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,2,1,1,1,1"	rxn05153	sulfate-transporting ATPase	FALSE	0	1000	3.6.3.25
rxn05172	0	ATP phosphohydrolase	rxn05172	"cpd00001[c0],cpd00002[c0],cpd00210[e0],cpd00008[c0],cpd00009[c0],cpd00067[c0],cpd00210[c0]"	"H2O[c0],ATP[c0],Taurine[e0],ADP[c0],Phosphate[c0],H+[c0],Taurine[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,2,1,1,1,1"	rxn05172	ATP phosphohydrolase (taurine-importing)	FALSE	0	1000	3.6.3.36
rxn09329	NA	ATP phosphohydrolase	rxn09329	"cpd00001[c0],cpd00002[c0],cpd00268[e0],cpd00008[c0],cpd00009[c0],cpd00067[c0],cpd00268[c0]"	"H2O[c0],ATP[c0],H2S2O3[e0],ADP[c0],Phosphate[c0],H+[c0],H2S2O3[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,2,1,1,1,1"	rxn09329	ABC-7-RXN.cp	FALSE	0	1000	3.6.3.25
rxn09694	0	ATP phosphohydrolase	rxn09694	"cpd00001[c0],cpd00002[c0],cpd00008[c0],cpd00009[c0],cpd00067[e0]"	"H2O[c0],ATP[c0],ADP[c0],Phosphate[c0],H+[e0]"	"-1,-1,1,1,1"	"1,1,1,1,2"	rxn09694	H+-exporting ATPase	FALSE	0	1000	3.6.3.6
rxn10168	NA	ATP phosphohydrolase	rxn10168	"cpd00001[c0],cpd00002[c0],cpd00205[e0],cpd00008[c0],cpd00009[c0],cpd00067[c0],cpd00205[c0]"	"H2O[c0],ATP[c0],K+[e0],ADP[c0],Phosphate[c0],H+[c0],K+[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,2,1,1,1,1"	rxn10168	(K++H+)-ATPase	FALSE	0	1000	3.6.3.10
rxn29239	NA	ATP phosphohydrolase	rxn29239	"cpd00001[c0],cpd00002[c0],cpd00048[e0],cpd00008[c0],cpd00009[c0],cpd00048[c0],cpd00067[e0]"	"H2O[c0],ATP[c0],Sulfate[e0],ADP[c0],Phosphate[c0],Sulfate[c0],H+[e0]"	"-1,-1,-1,1,1,1,1"	"1,1,2,1,1,1,2"	rxn29239	TRANS-RXN4LZ-6845.cd	TRUE	-1000	1000	3.6.3.25
rxn33882	NA	ATP phosphohydrolase	rxn33882	"cpd00008[e0],cpd00009[e0],cpd00067[e0],cpd00001[c0],cpd00002[e0]"	"ADP[e0],Phosphate[e0],H+[e0],H2O[c0],ATP[e0]"	"-1,-1,-1,1,1"	"2,2,2,1,2"	rxn33882	Mitochondrial ATP Synthase	TRUE	-1000	0	3.6.3.6
rxn38528	NA	complex_I (cytochrome_bd-I ubiquinol oxidase;cytochrome bo3 terminal oxidase - Cytochrome O ubiquinol oxidase;rxn10113 Cytochrome d ubiquinol oxidase;rxn10113 Cytochrome O ubiquinol oxidase)	rxn38528	"cpd00007[c0],cpd00067[c0],cpd28300[c0],cpd00001[c0],cpd00067[e0],cpd28301[c0]"	"O2[c0],H+[c0],Ubiquinols[c0],H2O[c0],H+[e0],Ubiquinones[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn38528	ubiquinol oxidase	FALSE	0	1000	7.1.1.7;1.10.3
rxn38529	NA	complex_I (cytochrome_bd-I ubiquinol oxidase;cytochrome bo3 terminal oxidase - Cytochrome O ubiquinol oxidase;rxn10113 Cytochrome d ubiquinol oxidase;rxn10113 Cytochrome O ubiquinol oxidase)	rxn38529	"cpd00007[c0],cpd00067[c0],cpd15561[c0],cpd00001[c0],cpd00067[e0],cpd15560[c0]"	"O2[c0],H+[c0],Ubiquinol-8[c0],H2O[c0],H+[e0],Ubiquinone-8[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn38529	ubiquinol oxidase	FALSE	0	1000	7.1.1.7;1.10.3;1.10.3.14
rxn12494	NA	complex_I (cytochrome_bd-I ubiquinol oxidase)	rxn12494	"cpd00007[c0],cpd00067[c0],cpd15561[c0],cpd00001[c0],cpd00067[e0],cpd15560[c0]"	"O2[c0],H+[c0],Ubiquinol-8[c0],H2O[c0],H+[e0],Ubiquinone-8[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn12494	ubiquinol oxidase	FALSE	0	1000	7.1.1.7;1.10.3.14
rxn26291	NA	complex_I (cytochrome_bd-I ubiquinol oxidase)	rxn26291	"cpd00007[c0],cpd00067[c0],cpd28300[c0],cpd00001[c0],cpd00067[e0],cpd28301[c0]"	"O2[c0],H+[c0],Ubiquinols[c0],H2O[c0],H+[e0],Ubiquinones[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn26291	ubiquinol oxidase	FALSE	0	1000	7.1.1.7
rxn37452	NA	complex_I (cytochrome_bd-I ubiquinol oxidase)	rxn37452	"cpd00007[c0],cpd00067[c0],cpd25914[c0],cpd00001[c0],cpd00067[e0],cpd01351[c0]"	"O2[c0],H+[c0],ubiquinol(9)[c0],H2O[c0],H+[e0],Ubiquinone-9[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn37452	ubiquinol oxidase	FALSE	0	1000	7.1.1.7
rxn37453	NA	complex_I (cytochrome_bd-I ubiquinol oxidase)	rxn37453	"cpd00007[c0],cpd00067[c0],cpd25915[c0],cpd00001[c0],cpd00067[e0],cpd08232[c0]"	"O2[c0],H+[c0],ubiquinol(10)[c0],H2O[c0],H+[e0],Ubidecarenone[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn37453	ubiquinol oxidase	FALSE	0	1000	7.1.1.7
rxn38530	NA	complex_I (cytochrome_bd-I ubiquinol oxidase)	rxn38530	"cpd00007[c0],cpd00067[c0],cpd28300[c0],cpd00001[c0],cpd00067[e0],cpd28301[c0]"	"O2[c0],H+[c0],Ubiquinols[c0],H2O[c0],H+[e0],Ubiquinones[c0]"	"-1,-4,-2,2,4,2"	"1,1,1,1,2,1"	rxn38530	ubiquinol oxidase	FALSE	0	1000	7.1.1.7
rxn08288	NA	complex_I (cytochrome_bd)	rxn08288	"cpd00007[c0],cpd00067[c0],cpd15561[c0],cpd00001[c0],cpd00067[e0],cpd15560[c0]"	"O2[c0],H+[c0],Ubiquinol-8[c0],H2O[c0],H+[e0],Ubiquinone-8[c0]"	"-0.5,-2,-1,1,2,1"	"1,1,1,1,2,1"	rxn08288	cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	FALSE	0	1000	1.10.3.14
rxn10112	NA	complex_I (cytochrome_bd)	rxn10112	"cpd00007[c0],cpd00067[c0],cpd15561[c0],cpd00001[c0],cpd00067[e0],cpd15560[c0]"	"O2[c0],H+[c0],Ubiquinol-8[c0],H2O[c0],H+[e0],Ubiquinone-8[c0]"	"-0.5,-2,-1,1,2,1"	"1,1,1,1,2,1"	rxn10112	cytochrome oxidase bd (ubiquinol-8: 2 protons)	FALSE	0	1000	1.10.3.14
rxn16346	NA	complex_I (cytochrome_bo/ubiquinol oxidase (H+-transporting))	rxn16346	"cpd00007[c0],cpd11665[c0],cpd00001[c0],cpd11669[c0]"	"O2[c0],QH2[c0],H2O[c0],Q[c0]"	"-1,-2,2,2"	"1,1,1,1"	rxn16346	ubiquinol:O2 oxidoreductase	FALSE	0	1000	1.10.3.10
rxn09167	0	"complex_I (cytochrome_bo/ubiquinol oxidase (H+-transporting));pyruvate:ubiquinone oxidoreductase;rxn09167 Pyruvate oxidase [ubiquinone, cytochrome]"	rxn09167	"cpd00001[c0],cpd00020[c0],cpd15560[c0],cpd00011[c0],cpd00029[c0],cpd15561[c0]"	"H2O[c0],Pyruvate[c0],Ubiquinone-8[c0],CO2[c0],Acetate[c0],Ubiquinol-8[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn09167	pyruvic (cytochrome b1) dehydrogenase	FALSE	0	1000	7.1.1.3;1.2.5.1;1.2.2.2
rxn06429	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn06429	"cpd00004[c0],cpd00067[c0],cpd11904[c0],cpd00003[c0],cpd02111[c0]"	"NADH[c0],H+[c0],Vitamin K[c0],NAD[c0],Reduced Vitamin K[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn06429	NADH:(quinone-acceptor) oxidoreductase	FALSE	0	1000	1.6.5.2
rxn07251	0	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn07251	"cpd00004[c0],cpd00067[c0],cpd00364[c0],cpd00003[c0],cpd00415[c0]"	"NADH[c0],H+[c0],Chinone[c0],NAD[c0],Quinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn07251	NADH:quinone oxidoreductase	FALSE	0	1000	1.6.5.2
rxn08977	0	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn08977	"cpd00005[c0],cpd00067[c0],cpd15560[c0],cpd00006[c0],cpd15561[c0]"	"NADPH[c0],H+[c0],Ubiquinone-8[c0],NADP[c0],Ubiquinol-8[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn08977	quinone reductase	FALSE	0	1000	1.6.5.2
rxn08979	0	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn08979	"cpd00005[c0],cpd00067[c0],cpd15352[c0],cpd00006[c0],cpd15353[c0]"	"NADPH[c0],H+[c0],2-Demethylmenaquinone 8[c0],NADP[c0],2-Demethylmenaquinol 8[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn08979	quinone reductase	FALSE	0	1000	1.6.5.2
rxn10995	0	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn10995	"cpd00005[c0],cpd00067[c0],cpd15995[c0],cpd00006[c0],cpd15994[c0]"	"NADPH[c0],H+[c0],Menaquinone6[c0],NADP[c0],Menaquinol6[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn10995	quinone reductase	FALSE	0	1000	1.6.5.2
rxn11156	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn11156	"cpd00004[c0],cpd00067[c0],cpd11451[c0],cpd00003[c0],cpd12783[c0]"	"NADH[c0],H+[c0],mql7[c0],NAD[c0],Menaquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn11156	NADH:menaquinone oxidoreductase	FALSE	0	1000	1.6.5.2
rxn11994	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn11994	"cpd01401[c0],cpd11610[c0],cpd11609[c0],cpd12844[c0]"	"Vitamin K1[c0],AH2[c0],A[c0],Phytonadiol[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn11994	NADH:phylloquinone oxidoreductase	FALSE	0	1000	1.6.5.2
rxn15674	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn15674	"cpd00005[c0],cpd00067[c0],cpd19168[c0],cpd00006[c0],cpd30750[c0]"	"NADPH[c0],H+[c0],C15602[c0],NADP[c0],p-Hydroquinone[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn15674	NADPH:quinone oxidoreductase	TRUE	-1000	1000	1.6.5.2
rxn20291	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn20291	"cpd00067[c0],cpd27640[c0],cpd28018[c0],cpd27638[c0],cpd28074[c0]"	"H+[c0],NADH-P-OR-NOP[c0],Quinones[c0],NAD-P-OR-NOP[c0],Reduced-Quinones[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn20291	quinone reductase	TRUE	-1000	1000	1.6.5.2
rxn22764	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn22764	"cpd00067[c0],cpd27640[c0],cpd27797[c0],cpd27638[c0],cpd27796[c0]"	"H+[c0],NADH-P-OR-NOP[c0],PLASTOQUINONE[c0],NAD-P-OR-NOP[c0],PLASTOQUINOL-1[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn22764	NAD(P)H dehydrogenase (plastoquinone)	TRUE	-1000	1000	1.6.5.2
rxn36779	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36779	"cpd00005[c0],cpd00067[c0],cpd03441[c0],cpd00006[c0],cpd21869[c0]"	"NADPH[c0],H+[c0],2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[c0],NADP[c0],2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36779	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36780	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36780	"cpd00004[c0],cpd00067[c0],cpd03441[c0],cpd00003[c0],cpd21869[c0]"	"NADH[c0],H+[c0],2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[c0],NAD[c0],2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36780	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36781	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36781	"cpd00005[c0],cpd00067[c0],cpd03440[c0],cpd00006[c0],cpd21870[c0]"	"NADPH[c0],H+[c0],2-Hexaprenyl-6-methoxy-1,4-benzoquinone[c0],NADP[c0],2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36781	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36782	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36782	"cpd00004[c0],cpd00067[c0],cpd03440[c0],cpd00003[c0],cpd21870[c0]"	"NADH[c0],H+[c0],2-Hexaprenyl-6-methoxy-1,4-benzoquinone[c0],NAD[c0],2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36782	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36783	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36783	"cpd00005[c0],cpd00067[c0],cpd01401[c0],cpd00006[c0],cpd12844[c0]"	"NADPH[c0],H+[c0],Vitamin K1[c0],NADP[c0],Phytonadiol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36783	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36784	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36784	"cpd00005[c0],cpd19022[c0],cpd00006[c0],cpd00415[c0]"	"NADPH[c0],p-Benzosemiquinone[c0],NADP[c0],Quinol[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn36784	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36785	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36785	"cpd00004[c0],cpd19022[c0],cpd00003[c0],cpd00415[c0]"	"NADH[c0],p-Benzosemiquinone[c0],NAD[c0],Quinol[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn36785	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36786	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36786	"cpd00005[c0],cpd09851[c0],cpd00006[c0],cpd00067[c0],cpd14614[c0]"	"NADPH[c0],beta-Tocopherol[c0],NADP[c0],H+[c0],2,3-Dimethyl-5-phytylquinol[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn36786	quinone reductase	TRUE	-1000	1000	1.6.5.2
rxn36787	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36787	"cpd00004[c0],cpd09851[c0],cpd00003[c0],cpd00067[c0],cpd14614[c0]"	"NADH[c0],beta-Tocopherol[c0],NAD[c0],H+[c0],2,3-Dimethyl-5-phytylquinol[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn36787	quinone reductase	TRUE	-1000	1000	1.6.5.2
rxn36788	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36788	"cpd00005[c0],cpd00067[c0],cpd23043[c0],cpd00006[c0],cpd25884[c0]"	"NADPH[c0],H+[c0],2-decaprenyl-6-methoxy-1,4-benzoquinone[c0],NADP[c0],2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36788	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36789	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36789	"cpd00004[c0],cpd00067[c0],cpd23043[c0],cpd00003[c0],cpd25884[c0]"	"NADH[c0],H+[c0],2-decaprenyl-6-methoxy-1,4-benzoquinone[c0],NAD[c0],2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36789	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36790	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36790	"cpd00005[c0],cpd00067[c0],cpd16766[c0],cpd00006[c0],cpd25885[c0]"	"NADPH[c0],H+[c0],2-nonaprenyl-6-methoxy-1,4-benzoquinone[c0],NADP[c0],2-methoxy-6-all trans-nonaprenyl-2-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36790	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36791	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36791	"cpd00004[c0],cpd00067[c0],cpd16766[c0],cpd00003[c0],cpd25885[c0]"	"NADH[c0],H+[c0],2-nonaprenyl-6-methoxy-1,4-benzoquinone[c0],NAD[c0],2-methoxy-6-all trans-nonaprenyl-2-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36791	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36792	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36792	"cpd00005[c0],cpd00067[c0],cpd16764[c0],cpd00006[c0],cpd25887[c0]"	"NADPH[c0],H+[c0],2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[c0],NADP[c0],2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36792	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36793	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36793	"cpd00004[c0],cpd00067[c0],cpd16764[c0],cpd00003[c0],cpd25887[c0]"	"NADH[c0],H+[c0],2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[c0],NAD[c0],2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn36793	quinone reductase	FALSE	0	1000	1.6.5.2
rxn36794	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36794	"cpd00005[c0],cpd09850[c0],cpd00006[c0],cpd00067[c0],cpd23069[c0]"	"NADPH[c0],delta-Tocopherol[c0],NADP[c0],H+[c0],2-methyl-6-geranylgeranyl-1,4-benzoquinol[c0]"	"-1,-1,1,7,1"	"1,1,1,1,1"	rxn36794	quinone reductase	TRUE	-1000	1000	1.6.5.2
rxn36795	NA	complex_I (NADH:quinone oxidoreductase/NADH:menaquinone oxidoreductase/phylloquinone reductase)	rxn36795	"cpd00004[c0],cpd09850[c0],cpd00003[c0],cpd00067[c0],cpd23069[c0]"	"NADH[c0],delta-Tocopherol[c0],NAD[c0],H+[c0],2-methyl-6-geranylgeranyl-1,4-benzoquinol[c0]"	"-1,-1,1,7,1"	"1,1,1,1,1"	rxn36795	quinone reductase	TRUE	-1000	1000	1.6.5.2
