# gapseq version: 1.2 c1e35b7c
# Sequence DB md5sum: 1139b8e (2021-06-02, Bacteria)
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN 
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN 
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	false	50	0	1	1	RXN0-280 
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	0	0	0	
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	true	72	0	1	1	6PFRUCTPHOS-RXN TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN RXN-15513 GLUCOKIN-RXN 
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	false	66	0	0	0	PHENDEHYD-RXN RXN-10814 
|ARABCAT-PWY|	L-arabinose degradation I	false	0	0	0	0	
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	66	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN RXN-14116 
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	false	33	0	0	0	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN 
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	50	0	1	0	1.2.1.54-RXN 4.1.1.75-RXN 
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	33	0	1	0	GUANIDINOBUTANAMIDE-NH3-RXN 
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	0	0	0	
|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	false	75	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN 
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	66	0	2	1	PYRROLINECARBREDUCT-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN 
|ARGSPECAT-PWY|	spermine biosynthesis	false	0	0	1	0	
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	true	88	0	2	2	ARGSUCCINLYA-RXN ORNCARBAMTRANSFER-RXN ACETYLORNTRANSAM-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLGLUTKIN-RXN GLUTAMATE-N-ACETYLTRANSFERASE-RXN CARBPSYN-RXN N-ACETYLTRANSFER-RXN 
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	false	0	0	0	0	
|ASPARAGINE-DEG1-PWY-1|	L-asparagine degradation III (mammalian)	false	33	0	0	0	ASPAMINOTRANS-RXN 
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	false	0	0	0	0	
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	false	0	0	0	0	
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPSYNII-PWY|	cyanide detoxification I	false	33	0	0	0	L-3-CYANOALANINE-SYNTHASE-RXN 
|AST-PWY|	L-arginine degradation II (AST pathway)	false	40	0	0	0	SUCCORNTRANSAM-RXN SUCCGLUALDDEHYD-RXN 
|BETA-ALA-DEGRADATION-I-PWY|	&beta;-alanine degradation I	true	100	0	0	0	RXN-2901 RXN-2902 
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	true	100	0	0	0	CHD-RXN BADH-RXN 
|BGALACT-PWY|	lactose degradation III	false	0	0	0	0	
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	false	0	0	0	0	
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	false	61	0	1	0	PHOSGLYPHOS-RXN 1.2.1.13-RXN TRIOSEPISOMERIZATION-RXN F16BDEPHOS-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN RIBULP3EPIM-RXN RIB5PISOM-RXN 
|CAMALEXIN-SYN|	camalexin biosynthesis	false	0	9	0	0	
|CARNMET-PWY|	L-carnitine degradation I	true	100	0	0	0	CROBETREDUCT-RXN RXN0-3601 LCARNCOALIG-RXN CARNDETRU-RXN 
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	false	25	0	1	0	3-OXOADIPATE-ENOL-LACTONASE-RXN 
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	false	28	1	1	0	RXN-8032 
|CENTFERM-PWY|	pyruvate fermentation to butanoate	false	57	0	0	0	ACETYL-COA-ACETYLTRANSFER-RXN RXN-11662 RXN-11667 RXN-16834 
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	22	0	2	0	PROTOPORGENOXI-RXN UROGENDECARBOX-RXN 
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	true	100	0	0	0	BADH-RXN CHD-RXN 
|CITRULBIO-PWY|	L-citrulline biosynthesis	false	71	0	0	0	GLUTAMIN-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN ORNCARBAMTRANSFER-RXN GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN 
|CITRULLINE-DEG-PWY|	L-citrulline degradation	false	50	0	1	1	ORNCARBAMTRANSFER-RXN 
|CO2FORM-PWY|	methanogenesis from methanol	false	0	0	0	0	
|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	true	100	0	1	1	PANTEPADENYLYLTRAN-RXN DEPHOSPHOCOAKIN-RXN P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN 
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	false	60	0	2	1	FORMATE-DEHYDROGENASE-NADP+-RXN METHCOCLTH-RXN 1.5.1.20-RXN METHENYLTHFCYCLOHYDRO-RXN FORMATETHFLIG-RXN METHYLENETHFDEHYDROG-NADP-RXN 
|CRNFORCAT-PWY|	creatinine degradation I	false	25	0	0	0	SARCOSINE-DEHYDROGENASE-RXN 
|CYANCAT-PWY|	cyanate degradation	false	0	0	1	0	
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	true	80	0	1	1	CYCLOHEXANOL-DEHYDROGENASE-RXN CYCLOHEXANONE-MONOOXYGENASE-RXN 6-OXOHEXANOATE-OXIDATION-RXN 6-HYDROXYHEXANOATE-OXIDATION-RXN 
|CYSTEINE-DEG-PWY|	L-cysteine degradation I	false	0	1	0	0	
|CYSTSYN-PWY|	L-cysteine biosynthesis I	true	100	0	0	0	SERINE-O-ACETTRAN-RXN ACSERLY-RXN 
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	true	77	0	1	1	DIAMINOPIMEPIM-RXN DIAMINOPIMDECARB-RXN SUCCDIAMINOPIMDESUCC-RXN SUCCINYLDIAMINOPIMTRANS-RXN TETHYDPICSUCC-RXN DIHYDRODIPICSYN-RXN RXN-14014 
|DARABCATK12-PWY|	D-arabinose degradation I	false	50	0	1	0	DARABALDOL-RXN GLYCOLALD-DEHYDROG-RXN 
|DARABCAT-PWY|	D-arabinose degradation II	false	0	0	2	0	
|DARABITOLUTIL-PWY|	D-arabitol degradation	false	50	0	0	0	XYLULOKIN-RXN 
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	false	20	1	2	0	
|DESULFONATION-PWY|	benzenesulfonate degradation	false	0	1	0	0	
|DETOX1-PWY|	superoxide radicals degradation	true	100	0	0	0	SUPEROX-DISMUT-RXN CATAL-RXN 
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	false	50	0	0	0	DEHYDOGLUCONOKINASE-RXN 1.1.1.43-RXN 
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	false	50	0	0	0	SULFATE-ADENYLYLTRANS-RXN RXN-17803 
|DTDPRHAMSYN-PWY|	dTDP-&beta;-L-rhamnose biosynthesis	false	0	0	0	0	
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	false	50	0	0	0	PGLUCONDEHYDRAT-RXN 
|ETHYL-PWY|	ethene biosynthesis I (plants)	true	100	0	0	0	S-ADENMETSYN-RXN 4.4.1.14-RXN ETHYL-RXN 
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	false	0	0	1	0	
|FAO-PWY|	fatty acid &beta;-oxidation I (generic)	false	71	0	0	0	OHACYL-COA-DEHYDROG-RXN KETOACYLCOATHIOL-RXN ACYLCOASYN-RXN ACYLCOADEHYDROG-RXN ENOYL-COA-HYDRAT-RXN 
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	true	100	0	0	0	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN ENOYL-ACP-REDUCT-NADPH-RXN ENOYL-ACP-REDUCT-NADH-RXN 3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-SYNTH-RXN 
|FERMENTATION-PWY|	mixed acid fermentation	false	50	0	0	0	PHOSACETYLTRANS-RXN PEPDEPHOS-RXN DLACTDEHYDROGNAD-RXN FUMHYDR-RXN PEPCARBOX-RXN CITSYN-RXN ISOCITDEH-RXN MALATE-DEH-RXN 
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	false	0	2	0	0	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	false	14	5	0	0	RXN-19492 
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	true	100	0	0	0	FORMALDEHYDE-DEHYDROGENASE-RXN 
|FUCCAT-PWY|	fucose degradation	false	25	0	1	0	FUCPALDOL-RXN 
|GALACTARDEG-PWY|	D-galactarate degradation I	false	75	0	0	0	KDGALDOL-RXN TSA-REDUCT-RXN GKI-RXN 
|GALACTCAT-PWY|	D-galactonate degradation	false	66	0	0	0	DEHYDDEOXGALACTKIN-RXN GALACTONDEHYDRAT-RXN 
|GALACTITOLCAT-PWY|	galactitol degradation	false	25	0	1	0	TAGAKIN-RXN 
|GALACTUROCAT-PWY|	D-galacturonate degradation I	false	20	0	0	0	DEOXYGLUCONOKIN-RXN 
|GALDEG-PWY|	D-galactose degradation II	false	0	0	1	0	
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	true	66	0	1	1	GALLATE-DIOXYGENASE-RXN RXN-2463 
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	false	50	0	1	0	RXN-2462 RXN-2463 
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	false	50	0	1	0	LINB1-RXN LINB2-RXN LINC-RXN MALEYLACETATE-REDUCTASE-RXN 
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	true	100	0	1	1	GDPMANDEHYDRA-RXN GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN 
|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN 
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	false	50	0	0	0	GLUCOSAMINE-6-P-DEAMIN-RXN 
|GLUCARDEG-PWY|	D-glucarate degradation I	false	75	0	0	0	KDGALDOL-RXN TSA-REDUCT-RXN GKI-RXN 
|GLUCONEO-PWY|	gluconeogenesis I	false	69	0	0	0	F16BDEPHOS-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPCARBOXYKIN-RXN MALIC-NADP-RXN TRIOSEPISOMERIZATION-RXN 1.1.1.39-RXN MALATE-DEH-RXN 
|GLUCONSUPER-PWY|	D-gluconate degradation	false	0	0	0	0	
|GLUCOSE1PMETAB-PWY|	glucose and glucose-1-phosphate degradation	false	50	0	0	0	PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLUGLNSYN-PWY|	L-glutamate biosynthesis IV	true	100	0	0	0	GLUTAMATE-SYNTHASE-NADH-RXN 
|GLUTAMATE-DEG1-PWY|	L-glutamate degradation I	false	0	0	0	0	
|GLUTAMATE-SYN2-PWY|	L-glutamate biosynthesis II	false	0	0	0	0	
|GLUTAMINDEG-PWY|	L-glutamine degradation I	true	100	0	0	0	GLUTAMIN-RXN 
|GLUTAMINEFUM-PWY|	L-glutamine degradation II	true	100	0	0	0	GLUTAMATESYN-RXN 
|GLUTATHIONESYN-PWY|	glutathione biosynthesis	false	50	0	0	0	GLUTCYSLIG-RXN 
|GLUTDEG-PWY|	L-glutamate degradation II	false	50	0	0	0	ASPAMINOTRANS-RXN 
|GLUTORN-PWY|	L-ornithine biosynthesis I	true	80	0	0	0	N-ACETYLTRANSFER-RXN ACETYLGLUTKIN-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLORNTRANSAM-RXN 
|GLUT-REDOX-PWY|	glutathione-glutaredoxin redox reactions	false	0	0	0	0	
|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	false	0	0	0	0	
|GLUTSYN-PWY|	L-glutamate biosynthesis I	false	50	0	0	0	GLUTAMIN-RXN 
|GLYCEROLMETAB-PWY|	glycerol degradation V	false	50	0	0	0	GLYCDEH-RXN 
|GLYCGREAT-PWY|	creatine biosynthesis	false	0	0	2	0	
|GLYCINE-SYN2-PWY|	glycine biosynthesis II	true	100	0	0	0	GCVP-RXN GCVT-RXN RXN-8629 
|GLYCLEAV-PWY|	glycine cleavage	true	100	0	1	1	GCVP-RXN GCVT-RXN RXN-8629 
|GLYCOCAT-PWY|	glycogen degradation I	false	50	0	1	0	AMYLOMALT-RXN RXN0-5183 PHOSPHOGLUCMUT-RXN GLUCOKIN-RXN 
|GLYCOGENSYNTH-PWY|	glycogen biosynthesis I (from ADP-D-Glucose)	false	50	0	1	0	GLUC1PADENYLTRANS-RXN PHOSPHOGLUCMUT-RXN 
|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	true	75	0	1	1	GLYOCARBOLIG-RXN RXN0-5289 GKI-RXN 
|GLYCOLYSIS|	glycolysis I (from glucose 6-phosphate)	false	66	0	0	0	PEPDEPHOS-RXN 2PGADEHYDRAT-RXN PHOSGLYPHOS-RXN GAPOXNPHOSPHN-RXN TRIOSEPISOMERIZATION-RXN 6PFRUCTPHOS-RXN F16BDEPHOS-RXN RXN-15513 
|GLYOXDEG-PWY|	glycolate and glyoxylate degradation II	false	50	0	0	0	MALSYN-RXN 
|GLYOXYLATE-BYPASS|	glyoxylate cycle	false	50	0	2	1	MALSYN-RXN CITSYN-RXN MALATE-DEH-RXN 
|GLYSYN-ALA-PWY|	glycine biosynthesis III	true	100	0	0	0	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN 
|GLYSYN-PWY|	glycine biosynthesis I	true	100	0	0	0	GLYOHMETRANS-RXN 
|GLYSYN-THR-PWY|	glycine biosynthesis IV	true	100	0	0	0	THREONINE-ALDOLASE-RXN 
|HCAMHPDEG-PWY|	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	false	20	0	1	0	MHPCHYDROL-RXN 
|HEME-BIOSYNTHESIS-II-1|	heme b biosynthesis V (aerobic)	true	75	0	1	1	UROGENDECARBOX-RXN PROTOHEMEFERROCHELAT-RXN RXN-21483 
|HEME-BIOSYNTHESIS-II|	heme b biosynthesis I (aerobic)	false	75	0	1	0	UROGENDECARBOX-RXN PROTOPORGENOXI-RXN PROTOHEMEFERROCHELAT-RXN 
|HEMESYN2-PWY|	heme b biosynthesis II (oxygen-independent)	false	75	0	1	0	PROTOHEMEFERROCHELAT-RXN UROGENDECARBOX-RXN RXN0-6259 
|HEXPPSYN-PWY|	hexaprenyl diphosphate biosynthesis	true	100	0	0	0	TRANS-PENTAPRENYLTRANSFERASE-RXN 
|HISDEG-PWY|	L-histidine degradation I	false	0	0	0	0	
|HISHP-PWY|	L-histidine degradation VI	false	25	1	0	0	
|HISTDEG-PWY|	L-histidine degradation IV	false	50	1	0	0	HISTTRANSAM-RXN 
|HISTSYN-PWY|	L-histidine biosynthesis	true	90	0	0	0	HISTALDEHYD-RXN HISTOLDEHYD-RXN HISTIDPHOS-RXN HISTAMINOTRANS-RXN IMIDPHOSDEHYD-RXN GLUTAMIDOTRANS-RXN PRIBFAICARPISOM-RXN HISTCYCLOHYD-RXN ATPPHOSPHORIBOSYLTRANS-RXN 
|HOMOCYSDEGR-PWY|	L-cysteine biosynthesis III (from L-homocysteine)	true	100	0	0	0	CYSTATHIONINE-BETA-SYNTHASE-RXN RXN-15130 
|HOMOSER-METSYN-PWY|	L-methionine biosynthesis I	true	80	0	2	2	HOMSUCTRAN-RXN O-SUCCHOMOSERLYASE-RXN HOMOCYSMETB12-RXN CYSTATHIONINE-BETA-LYASE-RXN 
|HOMOSERSYN-PWY|	L-homoserine biosynthesis	false	33	0	0	0	HOMOSERDEHYDROG-RXN 
|HOMOSER-THRESYN-PWY|	L-threonine biosynthesis	false	50	0	0	0	THRESYN-RXN 
|HYDROXYPRODEG-PWY|	trans-4-hydroxy-L-proline degradation I	false	50	1	0	0	4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN 
|IDNCAT-PWY|	L-idonate degradation	false	33	0	0	0	GLUCONATE-5-DEHYDROGENASE-RXN 
|ILEUDEG-PWY|	L-isoleucine degradation I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERILEU-RXN 1.1.1.178-RXN TIGLYLCOA-HYDROXY-RXN METHYLACETOACETYLCOATHIOL-RXN 2KETO-3METHYLVALERATE-RXN 2-METHYLACYL-COA-DEHYDROGENASE-RXN 
|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	80	0	1	0	DIHYDROXYMETVALDEHYDRAT-RXN BRANCHED-CHAINAMINOTRANSFERILEU-RXN ACETOOHBUTREDUCTOISOM-RXN ACETOOHBUTSYN-RXN 
|KDO-LIPASYN-PWY|	(Kdo)2-lipid A biosynthesis I (E. coli)	false	0	0	0	0	
|KDOSYN-PWY|	Kdo transfer to lipid IVA I (E. coli)	false	0	0	0	0	
|LACTOSECAT-PWY|	lactose and galactose degradation I	false	25	0	0	0	TAGAKIN-RXN 
|LACTOSEUTIL-PWY|	lactose degradation II	false	33	1	1	0	LACTOSE-DEHYDRO-RXN 
|LARABITOLUTIL-PWY|	xylitol degradation	true	100	0	1	1	D-XYLULOSE-REDUCTASE-RXN XYLULOKIN-RXN 
|LCYSDEG-PWY|	L-cysteine degradation II	true	100	0	1	1	RXN-15129 
|LEU-DEG2-PWY|	L-leucine degradation I	true	100	0	1	1	BRANCHED-CHAINAMINOTRANSFERLEU-RXN 2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN METHYLCROTONYL-COA-CARBOXYLASE-RXN METHYLGLUTACONYL-COA-HYDRATASE-RXN HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN RXN0-2301 
|LEUSYN-PWY|	L-leucine biosynthesis	true	100	0	0	0	3-ISOPROPYLMALDEHYDROG-RXN BRANCHED-CHAINAMINOTRANSFERLEU-RXN 3-ISOPROPYLMALISOM-RXN 2-ISOPROPYLMALATESYN-RXN RXN-8991 
|LIPA-CORESYN-PWY|	lipid A-core biosynthesis (E. coli K-12)	false	9	1	0	0	
|LIPAS-PWY|	triacylglycerol degradation	false	66	0	1	0	RXN-1602 RXN-7952 
|LIPASYN-PWY|	phospholipases	false	0	0	0	0	
|LYSDEGII-PWY|	L-lysine degradation III	false	33	3	0	0	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN VAGL-RXN 
|LYSINE-AMINOAD-PWY|	L-lysine biosynthesis IV	false	75	2	1	0	1.5.1.7-RXN HOMOCITRATE-SYNTHASE-RXN 2-AMINOADIPATE-AMINOTRANSFERASE-RXN RXN-7970 
|LYSINE-DEG1-PWY|	L-lysine degradation XI (mammalian)	false	60	1	0	0	2-AMINOADIPATE-AMINOTRANSFERASE-RXN 1.2.1.31-RXN 
|LYXMET-PWY|	L-lyxose degradation	false	0	0	1	0	
|MALATE-ASPARTATE-SHUTTLE-PWY|	malate/L-aspartate shuttle pathway	true	100	0	0	0	ASPAMINOTRANS-RXN MALATE-DEH-RXN 
|MALTOSECAT-PWY|	maltose degradation	false	0	0	1	0	
|MANNCAT-PWY|	D-mannose degradation I	false	0	0	1	0	
|MANNIDEG-PWY|	mannitol degradation I	false	0	0	0	0	
|MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS|	protein N-glycosylation initial phase (eukaryotic)	false	10	10	0	0	RXN-5464 2.4.1.117-RXN 
|M-CRESOL-DEGRADATION-PWY|	m-cresol degradation	false	60	1	0	0	BENZYL-ALCOHOL-DEHYDROGENASE-RXN 3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN 
|MENAQUINONESYN-PWY|	menaquinol-8 biosynthesis	true	100	0	0	0	ADOMET-DMK-METHYLTRANSFER-RXN 
|METH-ACETATE-PWY|	methanogenesis from acetate	false	33	1	0	0	PHOSACETYLTRANS-RXN 
|METHANOGENESIS-PWY|	methanogenesis from H2 and CO2	false	33	0	0	0	3.5.4.27-RXN METHELENE-THMPT-OXI-RXN 
|METHFORM-PWY|	methyl-coenzyme M reduction to methane	false	0	0	0	0	
|METHIONINE-DEG1-PWY|	L-methionine degradation I (to L-homocysteine)	false	66	1	0	0	S-ADENMETSYN-RXN ADENOSYLHOMOCYSTEINASE-RXN 
|METHYLGALLATE-DEGRADATION-PWY|	methylgallate degradation	false	60	0	1	1	METHYLGALLATE-RXN RXN-2462 RXN-2463 
|MGLDLCTANA-PWY|	methylglyoxal degradation VI	false	75	0	0	0	D-LACTALDEHYDE-DEHYDROGENASE-RXN LACTALDEHYDE-OXI-RXN D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN 
|N2FIX-PWY|	nitrogen fixation I (ferredoxin)	false	0	0	0	0	
|NAD-BIOSYNTHESIS-III|	NAD biosynthesis III (from nicotinamide)	false	0	0	1	0	
|NAD-BIOSYNTHESIS-II|	NAD salvage pathway III (to nicotinamide riboside)	false	33	0	2	1	RXN-5841 
|NADPHOS-DEPHOS-PWY-1|	NAD phosphorylation and transhydrogenation	true	100	0	0	0	NAD-KIN-RXN TRANS-RXN0-277 
|NAGLIPASYN-PWY|	lipid IVA biosynthesis (E. coli)	false	0	0	0	0	
|NONMEVIPP-PWY|	methylerythritol phosphate pathway I	true	77	0	1	1	DXS-RXN DXPREDISOM-RXN RXN0-302 RXN0-884 ISPH2-RXN 2.7.7.60-RXN RXN-15878 
|NONOXIPENT-PWY|	pentose phosphate pathway (non-oxidative branch) I	true	100	0	1	1	TRANSALDOL-RXN 2TRANSKETO-RXN 1TRANSKETO-RXN RIBULP3EPIM-RXN RIB5PISOM-RXN 
|NOPALINEDEG-PWY|	nopaline degradation	false	0	0	0	0	
|NPGLUCAT-PWY|	Entner-Doudoroff pathway II (non-phosphorylative)	false	75	0	0	0	GLUCONATE-DEHYDRATASE-RXN GLYCERALDEHYDE-DEHYDRO-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN GKI-RXN GLUCOSE-1-DEHYDROGENASE-NADP+-RXN 
|OCTOPINEDEG-PWY|	octopine degradation	false	0	0	0	0	
|ORN-AMINOPENTANOATE-CAT-PWY|	L-ornithine degradation I (L-proline biosynthesis)	false	0	0	0	0	
|OXIDATIVEPENT-PWY|	pentose phosphate pathway (oxidative branch) I	false	0	0	0	0	
|P101-PWY|	ectoine biosynthesis	false	20	0	1	0	R101-RXN 
|P105-PWY|	TCA cycle IV (2-oxoglutarate decarboxylase)	true	66	0	2	2	CITSYN-RXN FUMHYDR-RXN SUCCSEMIALDDEHYDROG-RXN RXN-7774 ISOCITDEH-RXN MALATE-DEH-RXN 
|P108-PWY|	pyruvate fermentation to propanoate I	false	57	0	1	1	FUMHYDR-RXN METHYLMALONYL-COA-EPIM-RXN 2.1.3.1-RXN MALATE-DEH-RXN 
|P121-PWY|	adenine and adenosine salvage I	false	50	0	0	0	ADENPHOSPHOR-RXN 
|P122-PWY|	heterolactic fermentation	false	61	0	0	0	6PGLUCONDEHYDROG-RXN RIBULP3EPIM-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN RXN-15513 2PGADEHYDRAT-RXN PEPDEPHOS-RXN PHOSACETYLTRANS-RXN DLACTDEHYDROGNAD-RXN FRUCTOKINASE-RXN GLUCOKIN-RXN 
