,rxn00003_c0,rxn00011_c0,rxn00069_c0,rxn00083_c0,rxn00088_c0,rxn00138_c0,rxn00141_c0,rxn00154_c0,rxn00161_c0,rxn00162_c0,rxn00190_c0,rxn00198_c0,rxn00199_c0,rxn00203_c0,rxn00211_c0,rxn00223_c0,rxn00248_c0,rxn00256_c0,rxn00391_c0,rxn00441_c0,rxn00442_c0,rxn00459_c0,rxn00474_c0,rxn00505_c0,rxn00509_c0,rxn00577_c0,rxn00604_c0,rxn00605_c0,rxn00615_c0,rxn00649_c0,rxn00692_c0,rxn00695_c0,rxn00711_c0,rxn00735_c0,rxn00743_c0,rxn00763_c0,rxn00765_c0,rxn00776_c0,rxn00786_c0,rxn00799_c0,rxn00868_c0,rxn00899_c0,rxn00907_c0,rxn00908_c0,rxn00973_c0,rxn00974_c0,rxn01019_c0,rxn01043_c0,rxn01044_c0,rxn01115_c0,rxn01138_c0,rxn01207_c0,rxn01211_c0,rxn01241_c0,rxn01243_c0,rxn01255_c0,rxn01290_c0,rxn01291_c0,rxn01310_c0,rxn01332_c0,rxn01334_c0,rxn01355_c0,rxn01358_c0,rxn01387_c0,rxn01388_c0,rxn01418_c0,rxn01424_c0,rxn01446_c0,rxn01539_c0,rxn01548_c0,rxn01618_c0,rxn01646_c0,rxn01647_c0,rxn01649_c0,rxn01684_c0,rxn01729_c0,rxn01782_c0,rxn01799_c0,rxn01831_c0,rxn01835_c0,rxn01859_c0,rxn01870_c0,rxn01872_c0,rxn01873_c0,rxn01879_c0,rxn01975_c0,rxn01985_c0,rxn02166_c0,rxn02185_c0,rxn02246_c0,rxn02269_c0,rxn02320_c0,rxn02376_c0,rxn02571_c0,rxn02936_c0,rxn03061_c0,rxn03062_c0,rxn03194_c0,rxn03378_c0,rxn03635_c0,rxn04056_c0,rxn04675_c0,rxn04937_c0,rxn05145_c0,rxn05146_c0,rxn05147_c0,rxn05149_c0,rxn05150_c0,rxn05151_c0,rxn05152_c0,rxn05154_c0,rxn05155_c0,rxn05156_c0,rxn05157_c0,rxn05159_c0,rxn05160_c0,rxn05161_c0,rxn05162_c0,rxn05164_c0,rxn05165_c0,rxn05166_c0,rxn05167_c0,rxn05168_c0,rxn05169_c0,rxn05170_c0,rxn05171_c0,rxn05172_c0,rxn05173_c0,rxn05174_c0,rxn05177_c0,rxn05179_c0,rxn05181_c0,rxn05195_c0,rxn05207_c0,rxn05219_c0,rxn05223_c0,rxn05224_c0,rxn05237_c0,rxn05321_c0,rxn05322_c0,rxn05323_c0,rxn05324_c0,rxn05325_c0,rxn05326_c0,rxn05327_c0,rxn05328_c0,rxn05336_c0,rxn05337_c0,rxn05338_c0,rxn05339_c0,rxn05340_c0,rxn05341_c0,rxn05342_c0,rxn05343_c0,rxn05344_c0,rxn05345_c0,rxn05346_c0,rxn05347_c0,rxn05348_c0,rxn05350_c0,rxn05488_c0,rxn05528_c0,rxn05555_c0,rxn05560_c0,rxn05561_c0,rxn05593_c0,rxn05595_c0,rxn05598_c0,rxn05605_c0,rxn05619_c0,rxn05622_c0,rxn05625_c0,rxn05626_c0,rxn05644_c0,rxn05645_c0,rxn05654_c0,rxn05691_c0,rxn05733_c0,rxn05994_c0,rxn06252_c0,rxn06253_c0,rxn06435_c0,rxn06437_c0,rxn06447_c0,rxn06448_c0,rxn06485_c0,rxn06493_c0,rxn06673_c0,rxn07441_c0,rxn07579_c0,rxn07987_c0,rxn07989_c0,rxn07991_c0,rxn07992_c0,rxn07993_c0,rxn07997_c0,rxn07998_c0,rxn08000_c0,rxn08001_c0,rxn08002_c0,rxn08043_c0,rxn08062_c0,rxn08094_c0,rxn08097_c0,rxn08160_c0,rxn08239_c0,rxn08278_c0,rxn08280_c0,rxn08345_c0,rxn08386_c0,rxn08390_c0,rxn08392_c0,rxn08394_c0,rxn08398_c0,rxn08535_c0,rxn08752_c0,rxn08857_c0,rxn08877_c0,rxn08921_c0,rxn08924_c0,rxn08989_c0,rxn09270_c0,rxn09295_c0,rxn09388_c0,rxn09673_c0,rxn09681_c0,rxn09886_c0,rxn09953_c0,rxn10010_c0,rxn10138_c0,rxn10481_c0,rxn10820_c0,rxn10822_c0,rxn10833_c0,rxn10839_c0,rxn10862_c0,rxn10883_c0,rxn10901_c0,rxn11040_c0,rxn11140_c0,rxn11245_c0,rxn11334_c0,rxn11551_c0,rxn11552_c0,rxn12303_c0,rxn12423_c0,rxn12435_c0,rxn12446_c0,rxn12562_c0,rxn13360_c0,rxn13361_c0,rxn13667_c0,rxn13668_c0,rxn13669_c0,rxn13671_c0,rxn13673_c0,rxn13849_c0,rxn13853_c0,rxn14157_c0,rxn15021_c0,rxn15022_c0,rxn15023_c0,rxn15035_c0,rxn15072_c0,rxn15087_c0,rxn15113_c0,rxn15116_c0,rxn15122_c0,rxn15123_c0,rxn15126_c0,rxn15127_c0,rxn15171_c0,rxn15172_c0,rxn15189_c0,rxn15190_c0,rxn15191_c0,rxn15192_c0,rxn15238_c0,rxn15239_c0,rxn15240_c0,rxn15241_c0,rxn15278_c0,rxn15279_c0,rxn15280_c0,rxn15281_c0,rxn15341_c0,rxn15345_c0,rxn15346_c0,rxn15362_c0,rxn15373_c0,rxn15491_c0,rxn15660_c0,rxn15694_c0,rxn15833_c0,rxn15964_c0,rxn21855_c0,rxn27955_c0,rxn27984_c0,rxn31225_c0,rxn90019_c0,rxn90076_c0,rxn05319_c0,rxn05466_c0,rxn05467_c0,rxn05468_c0,rxn05481_c0,rxn05634_c0,rxn05667_c0,rxn07919_c0,rxn07921_c0,rxn08032_c0,rxn08276_c0,rxn08358_c0,rxn08359_c0,rxn08428_c0,rxn08461_c0,rxn08635_c0,rxn08685_c0,rxn08689_c0,rxn08691_c0,rxn08751_c0,rxn08956_c0,rxn08966_c0,rxn09008_c0,rxn09169_c0,rxn09317_c0,rxn10470_c0,rxn10471_c0,rxn10480_c0,rxn10570_c0,rxn10577_c0,rxn31154_c0,rxn39175_c0,rxn90022_c0,rxn90023_c0,EX_cpd00009_e0,EX_cpd00023_e0,EX_cpd00027_e0,EX_cpd00030_e0,EX_cpd00034_e0,EX_cpd00039_e0,EX_cpd00041_e0,EX_cpd00051_e0,EX_cpd00053_e0,EX_cpd00064_e0,EX_cpd00073_e0,EX_cpd00098_e0,EX_cpd00105_e0,EX_cpd00107_e0,EX_cpd00108_e0,EX_cpd00119_e0,EX_cpd00129_e0,EX_cpd00149_e0,EX_cpd00154_e0,EX_cpd00156_e0,EX_cpd00161_e0,EX_cpd00179_e0,EX_cpd00209_e0,EX_cpd00210_e0,EX_cpd00224_e0,EX_cpd00244_e0,EX_cpd00305_e0,EX_cpd00322_e0,EX_cpd00540_e0,EX_cpd10516_e0,EX_cpd00130_e0,EX_cpd00971_e0,EX_cpd00060_e0,EX_cpd00104_e0,EX_cpd00220_e0,EX_cpd00084_e0,EX_cpd00029_e0,EX_cpd00067_e0,EX_cpd00058_e0,EX_cpd10515_e0,EX_cpd00082_e0,EX_cpd00106_e0,EX_cpd00121_e0,EX_cpd00205_e0,EX_cpd00208_e0,EX_cpd11574_e0,EX_cpd00075_e0,EX_cpd00036_e0,EX_cpd00751_e0,EX_cpd00035_e0,EX_cpd00132_e0,EX_cpd01015_e0,EX_cpd01399_e0,EX_cpd00254_e0,EX_cpd00185_e0,EX_cpd15494_e0,EX_cpd00794_e0,EX_cpd00033_e0,EX_cpd00054_e0,EX_cpd11976_e0,EX_cpd00133_e0,EX_cpd00153_e0,EX_cpd00380_e0,EX_cpd00006_e0,EX_cpd00003_e0,EX_cpd00138_e0,EX_cpd00314_e0,EX_cpd00393_e0,EX_cpd23431_e0,EX_cpd23430_e0,EX_cpd00001_e0,EX_cpd00013_e0,EX_cpd00011_e0,EX_cpd00007_e0,EX_cpd01981_e0,EX_cpd00141_e0,EX_cpd01861_e0,EX_cpd00453_e0,EX_cpd00071_e0,EX_cpd00150_e0,EX_cpd08021_e0,EX_cpd00450_e0,EX_cpd00363_e0,EX_cpd00055_e0,EX_cpd00448_e0,EX_cpd00025_e0,EX_cpd00239_e0,EX_cpd11640_e0,EX_cpd00359_e0,EX_cpd00659_e0,EX_cpd00418_e0,EX_cpd00371_e0,EX_cpd00811_e0,EX_cpd00324_e0,EX_cpd01024_e0,EX_cpd00204_e0,EX_cpd00116_e0,EX_cpd00528_e0,EX_cpd11632_e0,EX_cpd03662_e0,EX_cpd00178_e0,EX_cpd01618_e0,bio1,DM_cpd01042_c0,EX_cpd11416_c0,rxn00173_c0,rxn00225_c0,rxn00747_c0,rxn00781_c0,rxn01100_c0,rxn01106_c0
cpd00101[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00859[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00290[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00102[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
cpd00106[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00120[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00650[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00123[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00481[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpd00347[c0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
